Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2018,155317,University of Kansas,KS,1,,1,NCAA,8361,8889,17250,7,Football,130,,,,130,0,25674,3337674,0,0,3337674,,,,,,38148252,,38148252,,,,38148252,0,38148252,25325279,,25325279,,,,25325279,0,25325279
2018,157085,University of Kentucky,KY,1,,1,NCAA,9010,11402,20412,7,Football,124,,,,124,0,37935,4703908,0,0,4703908,,,,,,41366437,,41366437,,,,41366437,0,41366437,31446474,,31446474,,,,31446474,0,31446474
2018,160658,University of Louisiana at Lafayette,LA,1,,1,NCAA,5487,6911,12398,7,Football,137,,,,137,0,17089,2341244,0,0,2341244,,,,,,11050193,,11050193,,,,11050193,0,11050193,11050193,,11050193,,,,11050193,0,11050193
2018,159993,University of Louisiana at Monroe,LA,1,,1,NCAA,1866,3148,5014,7,Football,125,,,,125,0,7203,900390,0,0,900390,,,,,,5304043,,5304043,,,,5304043,0,5304043,5304043,,5304043,,,,5304043,0,5304043
2018,157289,University of Louisville,KY,1,,1,NCAA,5463,6410,11873,7,Football,120,,,,120,0,37443,4493210,0,0,4493210,,,,,,47327709,,47327709,,,,47327709,0,47327709,44057106,,44057106,,,,44057106,0,44057106
2018,163286,University of Maryland-College Park,MD,1,,1,NCAA,14934,13408,28342,7,Football,114,,,,114,0,20395,2325080,0,0,2325080,,,,,,46592593,,46592593,,,,46592593,0,46592593,28507867,,28507867,,,,28507867,0,28507867
2018,166629,University of Massachusetts-Amherst,MA,1,,1,NCAA,11047,10659,21706,7,Football,107,,,,107,0,14940,1598618,0,0,1598618,,,,,,10347538,,10347538,,,,10347538,0,10347538,10347538,,10347538,,,,10347538,0,10347538
2018,220862,University of Memphis,TN,1,,1,NCAA,5090,6934,12024,7,Football,116,,,,116,0,12528,1453209,0,0,1453209,,,,,,17856441,,17856441,,,,17856441,0,17856441,17856441,,17856441,,,,17856441,0,17856441
2018,135726,University of Miami,FL,1,,1,NCAA,4959,5453,10412,7,Football,113,,,,113,0,77823,8794019,0,0,8794019,,,,,,56257383,,56257383,,,,56257383,0,56257383,56257383,,56257383,,,,56257383,0,56257383
2018,170976,University of Michigan-Ann Arbor,MI,1,,1,NCAA,14503,14581,29084,7,Football,140,,,,140,0,51111,7155520,0,0,7155520,,,,,,122270243,,122270243,,,,122270243,0,122270243,47430574,,47430574,,,,47430574,0,47430574
2018,174066,University of Minnesota-Twin Cities,MN,1,,1,NCAA,13569,15658,29227,7,Football,115,,,,115,0,58327,6707566,0,0,6707566,,,,,,63016508,,63016508,,,,63016508,0,63016508,32403693,,32403693,,,,32403693,0,32403693
2018,176017,University of Mississippi,MS,1,,1,NCAA,7087,9392,16479,7,Football,117,,,,117,0,51809,6061709,0,0,6061709,,,,,,48247277,,48247277,,,,48247277,0,48247277,32215416,,32215416,,,,32215416,0,32215416
2018,178396,University of Missouri-Columbia,MO,1,,1,NCAA,9734,10933,20667,7,Football,119,,,,119,0,42556,5064124,0,0,5064124,,,,,,38471523,,38471523,,,,38471523,0,38471523,23586363,,23586363,,,,23586363,0,23586363
2018,181464,University of Nebraska-Lincoln,NE,1,,1,NCAA,10207,9255,19462,7,Football,158,,,,158,0,32767,5177206,0,0,5177206,,,,,,94336296,,94336296,,,,94336296,0,94336296,34574999,,34574999,,,,34574999,0,34574999
2018,182281,University of Nevada-Las Vegas,NV,1,,1,NCAA,8021,10628,18649,7,Football,103,,,,103,0,18907,1947402,0,0,1947402,,,,,,9768926,,9768926,,,,9768926,0,9768926,9768926,,9768926,,,,9768926,0,9768926
2018,182290,University of Nevada-Reno,NV,1,,1,NCAA,7202,7966,15168,7,Football,123,,,,123,0,20089,2470992,0,0,2470992,,,,,,10710232,,10710232,,,,10710232,0,10710232,10710232,,10710232,,,,10710232,0,10710232
2018,187985,University of New Mexico-Main Campus,NM,1,,1,NCAA,5963,7509,13472,7,Football,111,,,,111,0,13642,1514219,0,0,1514219,,,,,,9160962,,9160962,,,,9160962,0,9160962,9160962,,9160962,,,,9160962,0,9160962
2018,199120,University of North Carolina at Chapel Hill,NC,1,,1,NCAA,7462,11049,18511,7,Football,129,,,,129,0,28749,3708599,0,0,3708599,,,,,,39314461,,39314461,,,,39314461,0,39314461,23127138,,23127138,,,,23127138,0,23127138
2018,199139,University of North Carolina at Charlotte,NC,1,,1,NCAA,11236,9692,20928,7,Football,144,,,,144,0,14560,2096685,0,0,2096685,,,,,,9715195,,9715195,,,,9715195,0,9715195,9715195,,9715195,,,,9715195,0,9715195
2018,227216,University of North Texas,TX,1,,1,NCAA,11888,13506,25394,7,Football,109,,,,109,0,27346,2980711,0,0,2980711,,,,,,11692600,,11692600,,,,11692600,0,11692600,11692600,,11692600,,,,11692600,0,11692600
2018,152080,University of Notre Dame,IN,1,,1,NCAA,4477,4081,8558,7,Football,120,,,,120,0,95772,11492680,0,0,11492680,,,,,,115510518,,115510518,,,,115510518,0,115510518,50201929,,50201929,,,,50201929,0,50201929
2018,207500,University of Oklahoma-Norman Campus,OK,1,,1,NCAA,9248,9608,18856,7,Football,119,,,,119,0,116303,13840101,0,0,13840101,,,,,,94817907,,94817907,,,,94817907,0,94817907,43453315,,43453315,,,,43453315,0,43453315
2018,209551,University of Oregon,OR,1,,1,NCAA,8054,9486,17540,7,Football,120,,,,120,0,51276,6153172,0,0,6153172,,,,,,72146320,,72146320,,,,72146320,0,72146320,33024841,,33024841,,,,33024841,0,33024841
2018,215293,University of Pittsburgh-Pittsburgh Campus,PA,1,,1,NCAA,8732,9659,18391,7,Football,115,,,,115,0,48074,5528549,0,0,5528549,,,,,,39176605,,39176605,,,,39176605,0,39176605,31843372,,31843372,,,,31843372,0,31843372
2018,102094,University of South Alabama,AL,1,,1,NCAA,3516,5101,8617,7,Football,117,,,,117,0,15007,1755800,0,0,1755800,,,,,,9783711,,9783711,,,,9783711,0,9783711,10130130,,10130130,,,,10130130,0,10130130
2018,218663,University of South Carolina-Columbia,SC,1,,1,NCAA,11772,13540,25312,7,Football,119,,,,119,0,28196,3355312,0,0,3355312,,,,,,65004536,,65004536,,,,65004536,0,65004536,36206781,,36206781,,,,36206781,0,36206781
2018,137351,University of South Florida-Main Campus,FL,1,,1,NCAA,10900,13602,24502,7,Football,113,,,,113,0,29574,3341862,0,0,3341862,,,,,,16760097,,16760097,,,,16760097,0,16760097,16760097,,16760097,,,,16760097,0,16760097
2018,123961,University of Southern California,CA,1,,1,NCAA,9240,9807,19047,7,Football,116,,,,116,0,73926,8575465,0,0,8575465,,,,,,50046008,,50046008,,,,50046008,0,50046008,32124522,,32124522,,,,32124522,0,32124522
2018,176372,University of Southern Mississippi,MS,1,,1,NCAA,3463,6383,9846,7,Football,114,,,,114,0,10913,1244032,0,0,1244032,,,,,,7068057,,7068057,,,,7068057,0,7068057,7068057,,7068057,,,,7068057,0,7068057
2018,206084,University of Toledo,OH,1,,1,NCAA,6552,6247,12799,7,Football,116,,,,116,0,14901,1728523,0,0,1728523,,,,,,11696094,,11696094,,,,11696094,0,11696094,11696094,,11696094,,,,11696094,0,11696094
2018,207971,University of Tulsa,OK,1,,1,NCAA,1732,1414,3146,7,Football,125,,,,125,0,11882,1485291,0,0,1485291,,,,,,15231473,,15231473,,,,15231473,0,15231473,15231473,,15231473,,,,15231473,0,15231473
2018,230764,University of Utah,UT,1,,1,NCAA,9574,8556,18130,7,Football,131,,,,131,0,45739,5991870,0,0,5991870,,,,,,63181908,,63181908,,,,63181908,0,63181908,29262589,,29262589,,,,29262589,0,29262589
2018,234076,University of Virginia-Main Campus,VA,1,,1,NCAA,7240,8665,15905,7,Football,127,,,,127,0,41341,5250316,0,0,5250316,,,,,,33726985,,33726985,,,,33726985,0,33726985,26280855,,26280855,,,,26280855,0,26280855
2018,236948,University of Washington-Seattle Campus,WA,1,,1,NCAA,13552,15703,29255,7,Football,114,,,,114,0,92152,10505336,0,0,10505336,,,,,,84041770,,84041770,,,,84041770,0,84041770,40474139,,40474139,,,,40474139,0,40474139
2018,240444,University of Wisconsin-Madison,WI,1,,1,NCAA,13930,15012,28942,7,Football,115,,,,115,0,49568,5700270,0,0,5700270,,,,,,89944636,,89944636,,,,89944636,0,89944636,31714090,,31714090,,,,31714090,0,31714090
2018,240727,University of Wyoming,WY,1,,1,NCAA,4301,4149,8450,7,Football,116,,,,116,0,10485,1216307,0,0,1216307,,,,,,13649998,,13649998,,,,13649998,0,13649998,13649998,,13649998,,,,13649998,0,13649998
2018,230728,Utah State University,UT,1,,1,NCAA,8301,8982,17283,7,Football,110,,,,110,0,15618,1717965,0,0,1717965,,,,,,10010163,,10010163,,,,10010163,0,10010163,10010163,,10010163,,,,10010163,0,10010163
2018,221999,Vanderbilt University,TN,1,,1,NCAA,3295,3486,6781,7,Football,104,,,,104,0,30313,3152543,0,0,3152543,,,,,,32108897,,32108897,,,,32108897,0,32108897,28610632,,28610632,,,,28610632,0,28610632
2018,233921,Virginia Polytechnic Institute and State University,VA,1,,1,NCAA,15416,11709,27125,7,Football,120,,,,120,0,44609,5353051,0,0,5353051,,,,,,56224912,,56224912,,,,56224912,0,56224912,30123282,,30123282,,,,30123282,0,30123282
2018,199847,Wake Forest University,NC,1,,1,NCAA,2439,2732,5171,7,Football,119,,,,119,0,17986,2140310,0,0,2140310,,,,,,26722457,,26722457,,,,26722457,0,26722457,21462286,,21462286,,,,21462286,0,21462286
