,Zillow,Econ
1844,"Stark County, IL","Stark County, IL"
1845,"Hancock County, IL","Hancock County, IL"
1846,"Peoria County, IL","Peoria County, IL"
1847,"Woodford County, IL","Woodford County, IL"
1848,"Mason County, IL","Mason County, IL"
1849,"Tazewell County, IL","Tazewell County, IL"
1850,"McLean County, IL","McLean County, IL"
1851,"Logan County, IL","Logan County, IL"
1852,"Dewitt County, IL","De Witt County, IL"
1853,"Macon County, IL","Macon County, IL"
1854,"Piatt County, IL","Piatt County, IL"
1855,"Douglas County, IL","Douglas County, IL"
1856,"Coles County, IL","Coles County, IL"
1857,"Moultrie County, IL","Moultrie County, IL"
1858,"Edgar County, IL","Edgar County, IL"
1859,"Shelby County, IL","Shelby County, IL"
1860,"Madison County, IL","Madison County, IL"
1861,"Calhoun County, IL","Calhoun County, IL"
1862,"Macoupin County, IL","Macoupin County, IL"
1863,"Montgomery County, IL","Montgomery County, IL"
1864,"Greene County, IL","Greene County, IL"
1865,"Jersey County, IL","Jersey County, IL"
1866,"Saint Clair County, IL","St. Clair County, IL"
1867,"Fayette County, IL","Fayette County, IL"
1868,"Christian County, IL","Christian County, IL"
1869,"Bond County, IL","Bond County, IL"
1870,"Washington County, IL","Washington County, IL"
1871,"Clinton County, IL","Clinton County, IL"
1872,"Randolph County, IL","Randolph County, IL"
1873,"Monroe County, IL","Monroe County, IL"
1874,"Perry County, IL","Perry County, IL"
1875,"Adams County, IL","Adams County, IL"
1876,"Pike County, IL","Pike County, IL"
1877,"Effingham County, IL","Effingham County, IL"
1878,"Wabash County, IL","Wabash County, IL"
1879,"Crawford County, IL","Crawford County, IL"
1880,"Lawrence County, IL","Lawrence County, IL"
1881,"Richland County, IL","Richland County, IL"
1882,"Clark County, IL","Clark County, IL"
1883,"Cumberland County, IL","Cumberland County, IL"
1884,"Jasper County, IL","Jasper County, IL"
1885,"Edwards County, IL","Edwards County, IL"
1886,"Sangamon County, IL","Sangamon County, IL"
1887,"Morgan County, IL","Morgan County, IL"
1888,"Cass County, IL","Cass County, IL"
1889,"Menard County, IL","Menard County, IL"
1890,"Scott County, IL","Scott County, IL"
1891,"Marion County, IL","Marion County, IL"
1892,"Jefferson County, IL","Jefferson County, IL"
1893,"Franklin County, IL","Franklin County, IL"
1894,"White County, IL","White County, IL"
1895,"Wayne County, IL","Wayne County, IL"
1896,"Clay County, IL","Clay County, IL"
1897,"Hamilton County, IL","Hamilton County, IL"
1898,"Williamson County, IL","Williamson County, IL"
1899,"Gallatin County, IL","Gallatin County, IL"
1900,"Jackson County, IL","Jackson County, IL"
1901,"Union County, IL","Union County, IL"
1902,"Johnson County, IL","Johnson County, IL"
1903,"Massac County, IL","Massac County, IL"
1904,"Saline County, IL","Saline County, IL"
1905,"Pope County, IL","Pope County, IL"
1906,"Pulaski County, IL","Pulaski County, IL"
1907,"Hardin County, IL","Hardin County, IL"
1908,"Saint Louis County, MO","St. Louis County, MO"
1909,"Jefferson County, MO","Jefferson County, MO"
1910,"Franklin County, MO","Franklin County, MO"
1911,"Saint Francois County, MO","St. Francois County, MO"
1912,"Gasconade County, MO","Gasconade County, MO"
1913,"Saint Louis City, MO","St. Louis city, MO"
1914,"Saint Charles County, MO","St. Charles County, MO"
1915,"Pike County, MO","Pike County, MO"
1916,"Lincoln County, MO","Lincoln County, MO"
1917,"Audrain County, MO","Audrain County, MO"
1918,"Montgomery County, MO","Montgomery County, MO"
1919,"Warren County, MO","Warren County, MO"
1920,"Callaway County, MO","Callaway County, MO"
1921,"Marion County, MO","Marion County, MO"
1922,"Shelby County, MO","Shelby County, MO"
1923,"Lewis County, MO","Lewis County, MO"
1924,"Ralls County, MO","Ralls County, MO"
1925,"Clark County, MO","Clark County, MO"
1926,"Knox County, MO","Knox County, MO"
1927,"Monroe County, MO","Monroe County, MO"
1928,"Adair County, MO","Adair County, MO"
1929,"Putnam County, MO","Putnam County, MO"
1930,"Sullivan County, MO","Sullivan County, MO"
1931,"Schuyler County, MO","Schuyler County, MO"
1932,"Linn County, MO","Linn County, MO"
1933,"Iron County, MO","Iron County, MO"
1934,"Reynolds County, MO","Reynolds County, MO"
1935,"Sainte Genevieve County, MO","Ste. Genevieve County, MO"
1936,"Madison County, MO","Madison County, MO"
1937,"Bollinger County, MO","Bollinger County, MO"
1938,"Cape Girardeau County, MO","Cape Girardeau County, MO"
1939,"Stoddard County, MO","Stoddard County, MO"
1940,"Scott County, MO","Scott County, MO"
1941,"Perry County, MO","Perry County, MO"
1942,"Dunklin County, MO","Dunklin County, MO"
1943,"Mississippi County, MO","Mississippi County, MO"
1944,"Pemiscot County, MO","Pemiscot County, MO"
1945,"New Madrid County, MO","New Madrid County, MO"
1946,"Butler County, MO","Butler County, MO"
1947,"Ripley County, MO","Ripley County, MO"
1948,"Carter County, MO","Carter County, MO"
1949,"Wayne County, MO","Wayne County, MO"
1950,"Lafayette County, MO","Lafayette County, MO"
1951,"Cass County, MO","Cass County, MO"
1952,"Jackson County, MO","Jackson County, MO"
1953,"Ray County, MO","Ray County, MO"
1954,"Platte County, MO","Platte County, MO"
1955,"Johnson County, MO","Johnson County, MO"
1956,"Clay County, MO","Clay County, MO"
1957,"Buchanan County, MO","Buchanan County, MO"
1958,"Gentry County, MO","Gentry County, MO"
1959,"Andrew County, MO","Andrew County, MO"
1960,"DeKalb County, MO","DeKalb County, MO"
1961,"Nodaway County, MO","Nodaway County, MO"
1962,"Harrison County, MO","Harrison County, MO"
1963,"Clinton County, MO","Clinton County, MO"
1964,"Atchison County, MO","Atchison County, MO"
1965,"Worth County, MO","Worth County, MO"
1966,"Livingston County, MO","Livingston County, MO"
1967,"Daviess County, MO","Daviess County, MO"
1968,"Carroll County, MO","Carroll County, MO"
1969,"Caldwell County, MO","Caldwell County, MO"
1970,"Grundy County, MO","Grundy County, MO"
1971,"Chariton County, MO","Chariton County, MO"
1972,"Mercer County, MO","Mercer County, MO"
1973,"Bates County, MO","Bates County, MO"
1974,"Saint Clair County, MO","St. Clair County, MO"
1975,"Henry County, MO","Henry County, MO"
1976,"Vernon County, MO","Vernon County, MO"
1977,"Cedar County, MO","Cedar County, MO"
1978,"Barton County, MO","Barton County, MO"
1979,"Jasper County, MO","Jasper County, MO"
1980,"McDonald County, MO","McDonald County, MO"
1981,"Lawrence County, MO","Lawrence County, MO"
1982,"Barry County, MO","Barry County, MO"
1983,"Osage County, MO","Osage County, MO"
1984,"Boone County, MO","Boone County, MO"
1985,"Morgan County, MO","Morgan County, MO"
1986,"Maries County, MO","Maries County, MO"
1987,"Miller County, MO","Miller County, MO"
1988,"Moniteau County, MO","Moniteau County, MO"
1989,"Camden County, MO","Camden County, MO"
1990,"Cole County, MO","Cole County, MO"
1991,"Cooper County, MO","Cooper County, MO"
1992,"Howard County, MO","Howard County, MO"
1993,"Randolph County, MO","Randolph County, MO"
1994,"Pettis County, MO","Pettis County, MO"
1995,"Saline County, MO","Saline County, MO"
1996,"Benton County, MO","Benton County, MO"
1997,"Phelps County, MO","Phelps County, MO"
1998,"Shannon County, MO","Shannon County, MO"
1999,"Crawford County, MO","Crawford County, MO"
2000,"Texas County, MO","Texas County, MO"
2001,"Pulaski County, MO","Pulaski County, MO"
2002,"Laclede County, MO","Laclede County, MO"
2003,"Dent County, MO","Dent County, MO"
2004,"Howell County, MO","Howell County, MO"
2005,"Dallas County, MO","Dallas County, MO"
2006,"Polk County, MO","Polk County, MO"
2007,"Greene County, MO","Greene County, MO"
2008,"Oregon County, MO","Oregon County, MO"
2009,"Douglas County, MO","Douglas County, MO"
2010,"Ozark County, MO","Ozark County, MO"
2011,"Christian County, MO","Christian County, MO"
2012,"Stone County, MO","Stone County, MO"
2013,"Taney County, MO","Taney County, MO"
2014,"Hickory County, MO","Hickory County, MO"
2015,"Dade County, MO","Dade County, MO"
2016,"Webster County, MO","Webster County, MO"
2017,"Wright County, MO","Wright County, MO"
2018,"Atchison County, KS","Atchison County, KS"
2019,"Douglas County, KS","Douglas County, KS"
2020,"Leavenworth County, KS","Leavenworth County, KS"
2021,"Doniphan County, KS","Doniphan County, KS"
2022,"Linn County, KS","Linn County, KS"
2023,"Wyandotte County, KS","Wyandotte County, KS"
2024,"Miami County, KS","Miami County, KS"
2025,"Anderson County, KS","Anderson County, KS"
2026,"Johnson County, KS","Johnson County, KS"
2027,"Franklin County, KS","Franklin County, KS"
2028,"Jefferson County, KS","Jefferson County, KS"
2029,"Wabaunsee County, KS","Wabaunsee County, KS"
2030,"Shawnee County, KS","Shawnee County, KS"
2031,"Pottawatomie County, KS","Pottawatomie County, KS"
2032,"Marshall County, KS","Marshall County, KS"
2033,"Osage County, KS","Osage County, KS"
2034,"Brown County, KS","Brown County, KS"
2035,"Geary County, KS","Geary County, KS"
2036,"Riley County, KS","Riley County, KS"
2037,"Nemaha County, KS","Nemaha County, KS"
2038,"Bourbon County, KS","Bourbon County, KS"
2039,"Wilson County, KS","Wilson County, KS"
2040,"Crawford County, KS","Crawford County, KS"
2041,"Cherokee County, KS","Cherokee County, KS"
2042,"Neosho County, KS","Neosho County, KS"
2043,"Allen County, KS","Allen County, KS"
2044,"Woodson County, KS","Woodson County, KS"
2045,"Lyon County, KS","Lyon County, KS"
2046,"Morris County, KS","Morris County, KS"
2047,"Coffey County, KS","Coffey County, KS"
2048,"Marion County, KS","Marion County, KS"
2049,"Butler County, KS","Butler County, KS"
2050,"Greenwood County, KS","Greenwood County, KS"
2051,"Washington County, KS","Washington County, KS"
2052,"Smith County, KS","Smith County, KS"
2053,"Sedgwick County, KS","Sedgwick County, KS"
2054,"Harper County, KS","Harper County, KS"
2055,"Sumner County, KS","Sumner County, KS"
2056,"Cowley County, KS","Cowley County, KS"
2057,"Harvey County, KS","Harvey County, KS"
2058,"Pratt County, KS","Pratt County, KS"
2059,"Chautauqua County, KS","Chautauqua County, KS"
2060,"Kingman County, KS","Kingman County, KS"
2061,"Kiowa County, KS","Kiowa County, KS"
2062,"Barber County, KS","Barber County, KS"
2063,"McPherson County, KS","McPherson County, KS"
2064,"Montgomery County, KS","Montgomery County, KS"
2065,"Labette County, KS","Labette County, KS"
2066,"Saline County, KS","Saline County, KS"
2067,"Dickinson County, KS","Dickinson County, KS"
2068,"Ottawa County, KS","Ottawa County, KS"
2069,"Rice County, KS","Rice County, KS"
2070,"Clay County, KS","Clay County, KS"
2071,"Ellsworth County, KS","Ellsworth County, KS"
2072,"Reno County, KS","Reno County, KS"
2073,"Barton County, KS","Barton County, KS"
2074,"Edwards County, KS","Edwards County, KS"
2075,"Rush County, KS","Rush County, KS"
2076,"Pawnee County, KS","Pawnee County, KS"
2077,"Stafford County, KS","Stafford County, KS"
2078,"Ellis County, KS","Ellis County, KS"
2079,"Russell County, KS","Russell County, KS"
2080,"Osborne County, KS","Osborne County, KS"
2081,"Rooks County, KS","Rooks County, KS"
2082,"Thomas County, KS","Thomas County, KS"
2083,"Logan County, KS","Logan County, KS"
2084,"Ford County, KS","Ford County, KS"
2085,"Gray County, KS","Gray County, KS"
2086,"Kearny County, KS","Kearny County, KS"
2087,"Meade County, KS","Meade County, KS"
2088,"Finney County, KS","Finney County, KS"
2089,"Hamilton County, KS","Hamilton County, KS"
2090,"Seward County, KS","Seward County, KS"
2091,"Clark County, KS","Clark County, KS"
2092,"Haskell County, KS","Haskell County, KS"
2093,"Scott County, KS","Scott County, KS"
2094,"Grant County, KS","Grant County, KS"
2095,"Stevens County, KS","Stevens County, KS"
2096,"Morton County, KS","Morton County, KS"
2097,"Washington County, NE","Washington County, NE"
2098,"Saunders County, NE","Saunders County, NE"
2099,"Cuming County, NE","Cuming County, NE"
2100,"Sarpy County, NE","Sarpy County, NE"
2101,"Douglas County, NE","Douglas County, NE"
2102,"Butler County, NE","Butler County, NE"
2103,"Burt County, NE","Burt County, NE"
2104,"Dodge County, NE","Dodge County, NE"
2105,"Dakota County, NE","Dakota County, NE"
2106,"Thurston County, NE","Thurston County, NE"
2107,"Gage County, NE","Gage County, NE"
2108,"Nemaha County, NE","Nemaha County, NE"
2109,"Seward County, NE","Seward County, NE"
2110,"York County, NE","York County, NE"
2111,"Lancaster County, NE","Lancaster County, NE"
2112,"Thayer County, NE","Thayer County, NE"
2113,"Pawnee County, NE","Pawnee County, NE"
2114,"Otoe County, NE","Otoe County, NE"
2115,"Johnson County, NE","Johnson County, NE"
2116,"Saline County, NE","Saline County, NE"
2117,"Jefferson County, NE","Jefferson County, NE"
2118,"Fillmore County, NE","Fillmore County, NE"
2119,"Richardson County, NE","Richardson County, NE"
2120,"Clay County, NE","Clay County, NE"
2121,"Platte County, NE","Platte County, NE"
2122,"Merrick County, NE","Merrick County, NE"
2123,"Colfax County, NE","Colfax County, NE"
2124,"Antelope County, NE","Antelope County, NE"
2125,"Nance County, NE","Nance County, NE"
2126,"Polk County, NE","Polk County, NE"
2127,"Boone County, NE","Boone County, NE"
2128,"Madison County, NE","Madison County, NE"
2129,"Dixon County, NE","Dixon County, NE"
2130,"Cedar County, NE","Cedar County, NE"
2131,"Knox County, NE","Knox County, NE"
2132,"Wayne County, NE","Wayne County, NE"
2133,"Holt County, NE","Holt County, NE"
2134,"Pierce County, NE","Pierce County, NE"
2135,"Stanton County, NE","Stanton County, NE"
2136,"Hall County, NE","Hall County, NE"
2137,"Buffalo County, NE","Buffalo County, NE"
2138,"Custer County, NE","Custer County, NE"
2139,"Hamilton County, NE","Hamilton County, NE"
2140,"Howard County, NE","Howard County, NE"
2141,"Dawson County, NE","Dawson County, NE"
2142,"Sherman County, NE","Sherman County, NE"
2143,"Adams County, NE","Adams County, NE"
2144,"Phelps County, NE","Phelps County, NE"
2145,"Kearney County, NE","Kearney County, NE"
2146,"Webster County, NE","Webster County, NE"
2147,"Franklin County, NE","Franklin County, NE"
2148,"Gosper County, NE","Gosper County, NE"
2149,"Nuckolls County, NE","Nuckolls County, NE"
2150,"Red Willow County, NE","Red Willow County, NE"
2151,"Furnas County, NE","Furnas County, NE"
2152,"Hitchcock County, NE","Hitchcock County, NE"
2153,"Frontier County, NE","Frontier County, NE"
2154,"Lincoln County, NE","Lincoln County, NE"
2155,"Deuel County, NE","Deuel County, NE"
2156,"Morrill County, NE","Morrill County, NE"
2157,"Keith County, NE","Keith County, NE"
2158,"Cheyenne County, NE","Cheyenne County, NE"
2159,"Garden County, NE","Garden County, NE"
2160,"Brown County, NE","Brown County, NE"
2161,"Box Butte County, NE","Box Butte County, NE"
2162,"Dawes County, NE","Dawes County, NE"
2163,"Scotts Bluff County, NE","Scotts Bluff County, NE"
2164,"Sheridan County, NE","Sheridan County, NE"
2165,"Jefferson Parish, LA","Jefferson Parish, LA"
2166,"Saint Charles Parish, LA","St. Charles Parish, LA"
2167,"Saint Bernard Parish, LA","St. Bernard Parish, LA"
2168,"Plaquemines Parish, LA","Plaquemines Parish, LA"
2169,"Saint John the Baptist Parish, LA","St. John the Baptist Parish, LA"
2170,"Saint James Parish, LA","St. James Parish, LA"
2171,"Lafourche Parish, LA","Lafourche Parish, LA"
2172,"Assumption Parish, LA","Assumption Parish, LA"
2173,"Terrebonne Parish, LA","Terrebonne Parish, LA"
2174,"Ascension Parish, LA","Ascension Parish, LA"
2175,"Tangipahoa Parish, LA","Tangipahoa Parish, LA"
2176,"Saint Tammany Parish, LA","St. Tammany Parish, LA"
2177,"Washington Parish, LA","Washington Parish, LA"
2178,"Saint Helena Parish, LA","St. Helena Parish, LA"
2179,"Livingston Parish, LA","Livingston Parish, LA"
2180,"Vermilion Parish, LA","Vermilion Parish, LA"
2181,"Saint Landry Parish, LA","St. Landry Parish, LA"
2182,"Evangeline Parish, LA","Evangeline Parish, LA"
2183,"Acadia Parish, LA","Acadia Parish, LA"
2184,"Saint Martin Parish, LA","St. Martin Parish, LA"
2185,"Jefferson Davis Parish, LA","Jefferson Davis Parish, LA"
2186,"Iberia Parish, LA","Iberia Parish, LA"
2187,"Calcasieu Parish, LA","Calcasieu Parish, LA"
2188,"Cameron Parish, LA","Cameron Parish, LA"
2189,"Beauregard Parish, LA","Beauregard Parish, LA"
2190,"Allen Parish, LA","Allen Parish, LA"
2191,"Vernon Parish, LA","Vernon Parish, LA"
2192,"West Baton Rouge Parish, LA","West Baton Rouge Parish, LA"
2193,"East Baton Rouge Parish, LA","East Baton Rouge Parish, LA"
2194,"Pointe Coupee Parish, LA","Pointe Coupee Parish, LA"
2195,"Iberville Parish, LA","Iberville Parish, LA"
2196,"West Feliciana Parish, LA","West Feliciana Parish, LA"
2197,"Bienville Parish, LA","Bienville Parish, LA"
2198,"Claiborne Parish, LA","Claiborne Parish, LA"
2199,"Caddo Parish, LA","Caddo Parish, LA"
2200,"Bossier Parish, LA","Bossier Parish, LA"
2201,"Red River Parish, LA","Red River Parish, LA"
2202,"Webster Parish, LA","Webster Parish, LA"
2203,"De Soto Parish, LA","De Soto Parish, LA"
2204,"Natchitoches Parish, LA","Natchitoches Parish, LA"
2205,"Ouachita Parish, LA","Ouachita Parish, LA"
2206,"Franklin Parish, LA","Franklin Parish, LA"
2207,"Morehouse Parish, LA","Morehouse Parish, LA"
2208,"Union Parish, LA","Union Parish, LA"
2209,"Jackson Parish, LA","Jackson Parish, LA"
2210,"Richland Parish, LA","Richland Parish, LA"
2211,"West Carroll Parish, LA","West Carroll Parish, LA"
2212,"Catahoula Parish, LA","Catahoula Parish, LA"
2213,"East Carroll Parish, LA","East Carroll Parish, LA"
2214,"Rapides Parish, LA","Rapides Parish, LA"
2215,"Avoyelles Parish, LA","Avoyelles Parish, LA"
2216,"Concordia Parish, LA","Concordia Parish, LA"
2217,"LaSalle Parish, LA","LaSalle Parish, LA"
2218,"Tensas Parish, LA","Tensas Parish, LA"
2219,"Winn Parish, LA","Winn Parish, LA"
2220,"Grant Parish, LA","Grant Parish, LA"
2221,"Caldwell Parish, LA","Caldwell Parish, LA"
2222,"Jefferson County, AR","Jefferson County, AR"
2223,"Desha County, AR","Desha County, AR"
2224,"Bradley County, AR","Bradley County, AR"
2225,"Ashley County, AR","Ashley County, AR"
2226,"Chicot County, AR","Chicot County, AR"
2227,"Lincoln County, AR","Lincoln County, AR"
2228,"Cleveland County, AR","Cleveland County, AR"
2229,"Drew County, AR","Drew County, AR"
2230,"Ouachita County, AR","Ouachita County, AR"
2231,"Nevada County, AR","Nevada County, AR"
2232,"Union County, AR","Union County, AR"
2233,"Dallas County, AR","Dallas County, AR"
2234,"Columbia County, AR","Columbia County, AR"
2235,"Clark County, AR","Clark County, AR"
2236,"Calhoun County, AR","Calhoun County, AR"
2237,"Hempstead County, AR","Hempstead County, AR"
2238,"Little River County, AR","Little River County, AR"
2239,"Sevier County, AR","Sevier County, AR"
2240,"Lafayette County, AR","Lafayette County, AR"
2241,"Howard County, AR","Howard County, AR"
2242,"Miller County, AR","Miller County, AR"
2243,"Garland County, AR","Garland County, AR"
2244,"Saline County, AR","Saline County, AR"
2245,"Pike County, AR","Pike County, AR"
2246,"Hot Spring County, AR","Hot Spring County, AR"
2247,"Montgomery County, AR","Montgomery County, AR"
2248,"Polk County, AR","Polk County, AR"
2249,"Perry County, AR","Perry County, AR"
2250,"Arkansas County, AR","Arkansas County, AR"
2251,"Jackson County, AR","Jackson County, AR"
2252,"Woodruff County, AR","Woodruff County, AR"
2253,"Lonoke County, AR","Lonoke County, AR"
2254,"White County, AR","White County, AR"
2255,"Van Buren County, AR","Van Buren County, AR"
2256,"Pulaski County, AR","Pulaski County, AR"
2257,"Prairie County, AR","Prairie County, AR"
2258,"Monroe County, AR","Monroe County, AR"
2259,"Yell County, AR","Yell County, AR"
2260,"Conway County, AR","Conway County, AR"
2261,"Faulkner County, AR","Faulkner County, AR"
2262,"Cleburne County, AR","Cleburne County, AR"
2263,"Stone County, AR","Stone County, AR"
2264,"Grant County, AR","Grant County, AR"
2265,"Crittenden County, AR","Crittenden County, AR"
2266,"Mississippi County, AR","Mississippi County, AR"
2267,"Lee County, AR","Lee County, AR"
2268,"Cross County, AR","Cross County, AR"
2269,"Phillips County, AR","Phillips County, AR"
2270,"Poinsett County, AR","Poinsett County, AR"
2271,"Craighead County, AR","Craighead County, AR"
2272,"Greene County, AR","Greene County, AR"
2273,"Randolph County, AR","Randolph County, AR"
2274,"Clay County, AR","Clay County, AR"
2275,"Sharp County, AR","Sharp County, AR"
2276,"Independence County, AR","Independence County, AR"
2277,"Izard County, AR","Izard County, AR"
2278,"Fulton County, AR","Fulton County, AR"
2279,"Baxter County, AR","Baxter County, AR"
2280,"Boone County, AR","Boone County, AR"
2281,"Carroll County, AR","Carroll County, AR"
2282,"Marion County, AR","Marion County, AR"
2283,"Newton County, AR","Newton County, AR"
2284,"Searcy County, AR","Searcy County, AR"
2285,"Pope County, AR","Pope County, AR"
2286,"Washington County, AR","Washington County, AR"
2287,"Benton County, AR","Benton County, AR"
2288,"Madison County, AR","Madison County, AR"
2289,"Franklin County, AR","Franklin County, AR"
2290,"Logan County, AR","Logan County, AR"
2291,"Johnson County, AR","Johnson County, AR"
2292,"Scott County, AR","Scott County, AR"
2293,"Sebastian County, AR","Sebastian County, AR"
2294,"Crawford County, AR","Crawford County, AR"
2295,"Grady County, OK","Grady County, OK"
2296,"Oklahoma County, OK","Oklahoma County, OK"
2297,"Caddo County, OK","Caddo County, OK"
2298,"McClain County, OK","McClain County, OK"
2299,"Canadian County, OK","Canadian County, OK"
2300,"Kingfisher County, OK","Kingfisher County, OK"
2301,"Cleveland County, OK","Cleveland County, OK"
2302,"Washita County, OK","Washita County, OK"
2303,"Logan County, OK","Logan County, OK"
2304,"Murray County, OK","Murray County, OK"
2305,"Blaine County, OK","Blaine County, OK"
2306,"Kiowa County, OK","Kiowa County, OK"
2307,"Garvin County, OK","Garvin County, OK"
2308,"Stephens County, OK","Stephens County, OK"
2309,"Noble County, OK","Noble County, OK"
2310,"Custer County, OK","Custer County, OK"
2311,"Carter County, OK","Carter County, OK"
2312,"Love County, OK","Love County, OK"
2313,"Johnston County, OK","Johnston County, OK"
2314,"Marshall County, OK","Marshall County, OK"
2315,"Bryan County, OK","Bryan County, OK"
2316,"Jefferson County, OK","Jefferson County, OK"
2317,"Comanche County, OK","Comanche County, OK"
2318,"Jackson County, OK","Jackson County, OK"
2319,"Tillman County, OK","Tillman County, OK"
2320,"Harmon County, OK","Harmon County, OK"
2321,"Greer County, OK","Greer County, OK"
2322,"Beckham County, OK","Beckham County, OK"
2323,"Roger Mills County, OK","Roger Mills County, OK"
2324,"Dewey County, OK","Dewey County, OK"
2325,"Garfield County, OK","Garfield County, OK"
2326,"Alfalfa County, OK","Alfalfa County, OK"
2327,"Woods County, OK","Woods County, OK"
2328,"Major County, OK","Major County, OK"
2329,"Grant County, OK","Grant County, OK"
2330,"Woodward County, OK","Woodward County, OK"
2331,"Ellis County, OK","Ellis County, OK"
2332,"Harper County, OK","Harper County, OK"
2333,"Beaver County, OK","Beaver County, OK"
2334,"Texas County, OK","Texas County, OK"
2335,"Osage County, OK","Osage County, OK"
2336,"Washington County, OK","Washington County, OK"
2337,"Tulsa County, OK","Tulsa County, OK"
2338,"Creek County, OK","Creek County, OK"
2339,"Rogers County, OK","Rogers County, OK"
2340,"Pawnee County, OK","Pawnee County, OK"
2341,"Lincoln County, OK","Lincoln County, OK"
2342,"Nowata County, OK","Nowata County, OK"
2343,"Craig County, OK","Craig County, OK"
2344,"Mayes County, OK","Mayes County, OK"
2345,"Delaware County, OK","Delaware County, OK"
2346,"Ottawa County, OK","Ottawa County, OK"
2347,"Muskogee County, OK","Muskogee County, OK"
2348,"Okmulgee County, OK","Okmulgee County, OK"
2349,"Pittsburg County, OK","Pittsburg County, OK"
2350,"McIntosh County, OK","McIntosh County, OK"
2351,"Cherokee County, OK","Cherokee County, OK"
2352,"Wagoner County, OK","Wagoner County, OK"
2353,"Sequoyah County, OK","Sequoyah County, OK"
2354,"Haskell County, OK","Haskell County, OK"
2355,"Pushmataha County, OK","Pushmataha County, OK"
2356,"Atoka County, OK","Atoka County, OK"
2357,"Hughes County, OK","Hughes County, OK"
2358,"Coal County, OK","Coal County, OK"
2359,"Latimer County, OK","Latimer County, OK"
2360,"LeFlore County, OK","Le Flore County, OK"
2361,"Kay County, OK","Kay County, OK"
2362,"McCurtain County, OK","McCurtain County, OK"
2363,"Choctaw County, OK","Choctaw County, OK"
2364,"Pottawatomie County, OK","Pottawatomie County, OK"
2365,"Seminole County, OK","Seminole County, OK"
2366,"Pontotoc County, OK","Pontotoc County, OK"
2367,"Okfuskee County, OK","Okfuskee County, OK"
2368,"Adair County, OK","Adair County, OK"
2369,"Dallas County, TX","Dallas County, TX"
2370,"Collin County, TX","Collin County, TX"
2371,"Denton County, TX","Denton County, TX"
2372,"Grayson County, TX","Grayson County, TX"
2373,"Rockwall County, TX","Rockwall County, TX"
2374,"Ellis County, TX","Ellis County, TX"
2375,"Navarro County, TX","Navarro County, TX"
2376,"Van Zandt County, TX","Van Zandt County, TX"
2377,"Kaufman County, TX","Kaufman County, TX"
2378,"Henderson County, TX","Henderson County, TX"
2379,"Hunt County, TX","Hunt County, TX"
2380,"Wood County, TX","Wood County, TX"
2381,"Lamar County, TX","Lamar County, TX"
2382,"Red River County, TX","Red River County, TX"
2383,"Fannin County, TX","Fannin County, TX"
2384,"Delta County, TX","Delta County, TX"
2385,"Hopkins County, TX","Hopkins County, TX"
2386,"Rains County, TX","Rains County, TX"
2387,"Camp County, TX","Camp County, TX"
2388,"Titus County, TX","Titus County, TX"
2389,"Franklin County, TX","Franklin County, TX"
2390,"Bowie County, TX","Bowie County, TX"
2391,"Cass County, TX","Cass County, TX"
2392,"Morris County, TX","Morris County, TX"
2393,"Gregg County, TX","Gregg County, TX"
2394,"Marion County, TX","Marion County, TX"
2395,"Panola County, TX","Panola County, TX"
2396,"Upshur County, TX","Upshur County, TX"
2397,"Harrison County, TX","Harrison County, TX"
2398,"Rusk County, TX","Rusk County, TX"
2399,"Brewster County, TX","Brewster County, TX"
2400,"Smith County, TX","Smith County, TX"
2401,"Cherokee County, TX","Cherokee County, TX"
2402,"Nacogdoches County, TX","Nacogdoches County, TX"
2403,"Anderson County, TX","Anderson County, TX"
2404,"Leon County, TX","Leon County, TX"
2405,"Houston County, TX","Houston County, TX"
2406,"Freestone County, TX","Freestone County, TX"
2407,"Trinity County, TX","Trinity County, TX"
2408,"Madison County, TX","Madison County, TX"
2409,"Angelina County, TX","Angelina County, TX"
2410,"Newton County, TX","Newton County, TX"
2411,"San Augustine County, TX","San Augustine County, TX"
2412,"Sabine County, TX","Sabine County, TX"
2413,"Jasper County, TX","Jasper County, TX"
2414,"Polk County, TX","Polk County, TX"
2415,"Shelby County, TX","Shelby County, TX"
2416,"Tyler County, TX","Tyler County, TX"
2417,"Tarrant County, TX","Tarrant County, TX"
2418,"Parker County, TX","Parker County, TX"
2419,"Johnson County, TX","Johnson County, TX"
2420,"Somervell County, TX","Somervell County, TX"
2421,"Hood County, TX","Hood County, TX"
2422,"Hill County, TX","Hill County, TX"
2423,"Palo Pinto County, TX","Palo Pinto County, TX"
2424,"Clay County, TX","Clay County, TX"
2425,"Montague County, TX","Montague County, TX"
2426,"Cooke County, TX","Cooke County, TX"
2427,"Wichita County, TX","Wichita County, TX"
2428,"Archer County, TX","Archer County, TX"
2429,"Wilbarger County, TX","Wilbarger County, TX"
2430,"Young County, TX","Young County, TX"
2431,"Haskell County, TX","Haskell County, TX"
2432,"Stephens County, TX","Stephens County, TX"
2433,"Jack County, TX","Jack County, TX"
2434,"Shackelford County, TX","Shackelford County, TX"
2435,"Brown County, TX","Brown County, TX"
2436,"Eastland County, TX","Eastland County, TX"
2437,"Hamilton County, TX","Hamilton County, TX"
2438,"Comanche County, TX","Comanche County, TX"
2439,"Callahan County, TX","Callahan County, TX"
